region,country,,fertility,rank_wik,rank_prg,pop,GDP_PPP,SSA,"Australia, New Zealand & Polynesia",South Asia,Africa,South East Asia,Middle East,NIS & Russia,Mediterranean Europe,Latin America,East Asia,Eastern & Central Europe,North America,North Asia,Continental Europe,Scandinavia
South East Asia,Singapore,,1.1,197,197,5453600,107835.3333,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Eastern & Central Europe,Slovakia,,1.57,159,159,5434712,34394,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
Eastern & Central Europe,Slovenia,,1.6,153,153,2108977,42405,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"Australia, New Zealand & Polynesia",Solomon Islands,,4.31,26,26,728041,2555.666667,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Somalia,,5.88,2,2,16360000,999.0666667,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,South Africa,,2.36,84,84,60142978,13313,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Asia,South Korea,,0.84,200,200,51745000,46313.33333,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
SSA,South Sudan,,4.54,17,17.5,13249924,1254.333333,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediterranean Europe,Spain,,1.23,194,194,47326687,41883.66667,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
South Asia,Sri Lanka,,2.17,100,99.5,22156000,13896.66667,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
North America,St Vincent and the Grenadines,,1.85,126,126,110696,13458.33333,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Africa,Sudan,,4.29,27,27,44527490,4214.666667,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Latin America,Suriname,,2.37,83,83,598000,16947,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
Scandinavia,Sweden,,1.66,146,146,10475203,56063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Continental Europe,Switzerland,,1.46,174,174.5,8736500,74803.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Middle East,Syria,,2.73,69,69.5,18276000,4637,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
NIS & Russia,Tajikistan,,3.52,46,46,9506000,3956,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
SSA,Tanzania,,4.77,11,11,59441988,2932.666667,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East Asia,Thailand,,1.5,167,168,66802480,19251,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
SSA,Togo,,4.2,30,29,7886000,2140,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia, New Zealand & Polynesia",Tonga,,3.48,51,49.5,99532,6604.666667,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
North America,Trinidad and Tobago,,1.7,143,143,1367558,26205,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Africa,Tunisia,,2.15,101,101,11746695,11106,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Eastern & Central Europe,Turkey,,2.04,109,109,84680273,31344,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
NIS & Russia,Turkmenistan,,2.7,71,71,6118000,16632.66667,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
SSA,Uganda,,4.7,13,13.5,42885900,2481.666667,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIS & Russia,Ukraine,,1.22,195,195,41130432,13397.33333,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Middle East,United Arab Emirates,,1.37,183,184,9282410,71771,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Continental Europe,United Kingdom,,1.56,160,161,67081234,48958.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
North America,United States,,1.64,147,147,332800523,66590.33333,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Latin America,Uruguay,,1.95,119,118,3554915,23673,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
NIS & Russia,Uzbekistan,,2.9,63,62.5,35609610,7873.333333,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Australia, New Zealand & Polynesia",Vanuatu,,3.71,43,43,301295,2973,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America,Venezuela,,2.23,94,94.5,28705000,10393.66667,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
South East Asia,Vietnam,,2.05,108,107.5,98505400,9857.666667,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
North America,U.S. Virgin Islands,US,2.03,110,110,#N/A,37000,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Middle East,Yemen,,3.61,44,44,30491000,2755.666667,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
SSA,Zambia,,4.5,19,19,18400556,3565.333333,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSA,Zimbabwe,,3.46,48,51,15790716,2751.333333,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
